# nonCO2 emissions by sector,,,,,,,,,,
sector,ghg,var1,var2,var3,var4,var5,var6,var7,var8,unit_conv
district heat,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,,,,,1
electricity,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,,,,,1
H2 central production,CH4,Emissions|CH4,Emissions|CH4|Energy,,,,,,,1
industrial energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
industrial processes,CH4,Emissions|CH4,Emissions|CH4|Other,,,,,,,1
iron and steel,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
mining energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
N fertilizer,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
other industrial energy use,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
process heat cement,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Industry,,,,,,1
refining,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Supply,,,,,,1
resid cooling,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
resid others,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Residential and Commercial,,,,,,1
trn_freight,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_freight_road,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_pass,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_pass_road,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,CH4,Emissions|CH4,Emissions|CH4|Energy,Emissions|CH4|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,CH4,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
urban processes,CH4,Emissions|CH4,Emissions|CH4|Other,,,,,,,1
Beef,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Dairy,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Pork,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Poultry,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Rice,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
SheepGoat,CH4_AGR,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Corn,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
FiberCrop,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
MiscCrop,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
OilCrop,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
OtherGrain,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
PalmFruit,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Rice,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
RootTuber,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
SugarCrop,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Wheat,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Fruits,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Legumes,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
NutsSeeds,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Soybean,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
Vegetables,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
OilPalm,CH4_AWB,Emissions|CH4,Emissions|CH4|AFOLU,,,,,,,1
agricultural energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
alumina,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
chemical energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
comm cooling,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
comm others,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
district heat,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
electricity,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
H2 central production,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
H2 forecourt production,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
industrial energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
industrial processes,CO,Emissions|CO,,,,,,,,1
iron and steel,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
mining energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
N fertilizer,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
process heat cement,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
refining,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
resid cooling,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
resid others,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_freight,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_freight_road,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_pass,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_pass_road,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,CO,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
urban processes,CO,Emissions|CO,,,,,,,,1
H2 wholesale dispensing,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Supply,,,,,,1
other industrial energy use,CO,Emissions|CO,Emissions|CO|Energy,Emissions|CO|Energy|Demand|Industry,,,,,,1
Corn,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
FiberCrop,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
MiscCrop,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
OilCrop,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
OtherGrain,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
PalmFruit,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Rice,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
RootTuber,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
SugarCrop,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Wheat,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Fruits,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Legumes,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
NutsSeeds,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Soybean,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Vegetables,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
OilPalm,CO_AWB,Emissions|CO,Emissions|CO|AFOLU,,,,,,,1
Corn,H2_AWB,,,,,,,,,1
FiberCrop,H2_AWB,,,,,,,,,1
MiscCrop,H2_AWB,,,,,,,,,1
OilCrop,H2_AWB,,,,,,,,,1
OtherGrain,H2_AWB,,,,,,,,,1
PalmFruit,H2_AWB,,,,,,,,,1
Rice,H2_AWB,,,,,,,,,1
RootTuber,H2_AWB,,,,,,,,,1
SugarCrop,H2_AWB,,,,,,,,,1
Wheat,H2_AWB,,,,,,,,,1
comm cooling,HFC125,Emissions|HFC,Emissions|HFC|HFC125,,,,,,,1
resid cooling,HFC125,Emissions|HFC,Emissions|HFC|HFC125,,,,,,,1
comm cooling,HFC134a,Emissions|HFC,Emissions|HFC|HFC134a,,,,,,,1
industrial processes,HFC134a,Emissions|HFC,Emissions|HFC|HFC134a,,,,,,,1
resid cooling,HFC134a,Emissions|HFC,Emissions|HFC|HFC134a,,,,,,,1
urban processes,HFC134a,Emissions|HFC,Emissions|HFC|HFC134a,,,,,,,1
comm cooling,HFC143a,Emissions|HFC,Emissions|HFC|HFC143a,,,,,,,1
resid cooling,HFC143a,Emissions|HFC,Emissions|HFC|HFC143a,,,,,,,1
urban processes,HFC152a,Emissions|HFC,Emissions|HFC|HFC152a,,,,,,,1
urban processes,HFC227ea,Emissions|HFC,Emissions|HFC|HFC227ea,,,,,,,1
comm cooling,HFC23,Emissions|HFC,Emissions|HFC|HFC23,,,,,,,1
industrial processes,HFC23,Emissions|HFC,Emissions|HFC|HFC23,,,,,,,1
resid cooling,HFC23,Emissions|HFC,Emissions|HFC|HFC23,,,,,,,1
urban processes,HFC236fa,Emissions|HFC,,,,,,,,1
industrial processes,HFC245fa,Emissions|HFC,Emissions|HFC|HFC245fa,,,,,,,1
comm cooling,HFC32,Emissions|HFC,Emissions|HFC|HFC32,,,,,,,1
resid cooling,HFC32,Emissions|HFC,Emissions|HFC|HFC32,,,,,,,1
industrial processes,HFC365mfc,Emissions|HFC,,,,,,,,1
industrial processes,HFC43,Emissions|HFC,Emissions|HFC|43-10,,,,,,,1
agricultural energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
alumina,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
chemical energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
comm cooling,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
comm heating,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
comm others,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
construction energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
district heat,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
electricity,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
industrial energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
industrial processes,N2O,Emissions|N2O,Emissions|N2O|Other,,,,,,,1000
iron and steel,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
mining energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
N fertilizer,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
process heat cement,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
refining,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
resid cooling,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
resid heating,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
resid others,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_aviation_intl,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_freight,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_freight_road,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_pass,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_pass_road,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_pass_road_LDV,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_pass_road_LDV_4W,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
trn_shipping_intl,N2O,Emissions|N2O,Emissions|N2O|Energy,,,,,,,1000
UnmanagedLand,N2O,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
urban processes,N2O,Emissions|N2O,Emissions|N2O|Other,,,,,,,1000
other industrial energy use,N2O,Emissions|N2O,Emissions|N2O|Energy,Emissions|N2O|Energy|Demand|Industry,,,,,,1000
Beef,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
biomass,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Corn,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Dairy,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
FiberCrop,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
FodderGrass,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
FodderHerb,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
MiscCrop,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OilCrop,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OtherGrain,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
PalmFruit,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Pork,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Poultry,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Rice,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
RootTuber,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
SheepGoat,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
SugarCrop,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Wheat,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Fruits,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Legumes,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
NutsSeeds,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Soybean,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Vegetables,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OilPalm,N2O_AGR,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Corn,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
FiberCrop,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
MiscCrop,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OilCrop,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OtherGrain,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
PalmFruit,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Rice,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
RootTuber,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
SugarCrop,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Wheat,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Fruits,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Legumes,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
NutsSeeds,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Soybean,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
Vegetables,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
OilPalm,N2O_AWB,Emissions|N2O,Emissions|N2O|AFOLU,,,,,,,1000
agricultural energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
alumina,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
chemical energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
comm cooling,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
comm heating,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
comm others,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
construction energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
district heat,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,,,,,,1
electricity,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Supply,,,,,,1
industrial energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
industrial processes,NH3,Emissions|NH3,,,,,,,,1
iron and steel,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
mining energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
N fertilizer,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
process heat cement,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
resid cooling,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
resid heating,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
resid others,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Residential and Commercial,,,,,,1
trn_aviation_intl,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_freight,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_freight_road,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_pass,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_pass_road,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_pass_road_LDV_4W,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
trn_shipping_intl,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Transportation,,,,,,1
UnmanagedLand,NH3,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
urban processes,NH3,Emissions|NH3,,,,,,,,1
other industrial energy use,NH3,Emissions|NH3,Emissions|NH3|Energy,Emissions|NH3|Energy|Demand|Industry,,,,,,1
Beef,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Corn,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
Dairy,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
FiberCrop,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
FodderGrass,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
FodderHerb,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
MiscCrop,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OilCrop,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
OtherGrain,NH3_AGR,Emissions|NH3,Emissions|NH3|AFOLU,,,,,,,1
