# Prices by sector
sector,var1,var2,var3,unit_conv
IndusR_desalinated water,NoReported,,,1
industrial processes,NoReported,,,1
industrial wastewater treatment,NoReported,,,1
industrial water abstraction,NoReported,,,1
industrial water treatment,NoReported,,,1
Iran_desalinated water,NoReported,,,1
Ireland_desalinated water,NoReported,,,1
IrianJaya_desalinated water,NoReported,,,1
iron and steel,NoReported,,,1
IrrawaddyR_desalinated water,NoReported,,,1
irrigation water abstraction,NoReported,,,1
ItalyCstE_desalinated water,NoReported,,,1
ItalyCstW_desalinated water,NoReported,,,1
Japan_desalinated water,NoReported,,,1
JavaTimor_desalinated water,NoReported,,,1
Kalimantan_desalinated water,NoReported,,,1
Korea_desalinated water,NoReported,,,1
KrishnaR_desalinated water,NoReported,,,1
LaPuna_desalinated water,NoReported,,,1
LBalkash_desalinated water,NoReported,,,1
LChad_desalinated water,NoReported,,,1
Legumes,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
LimpopoR_desalinated water,NoReported,,,1
LoireR_desalinated water,NoReported,,,1
Mackenzie_desalinated water,NoReported,,,1
MahanadiR_desalinated water,NoReported,,,1
MahiR_desalinated water,NoReported,,,1
MalaysiaP_desalinated water,NoReported,,,1
MarChiq_desalinated water,NoReported,,,1
MeditE_desalinated water,NoReported,,,1
MeditIsl_desalinated water,NoReported,,,1
MeditS_desalinated water,NoReported,,,1
Mekong_desalinated water,NoReported,,,1
MexBaja_desalinated water,NoReported,,,1
MexCstNW_desalinated water,NoReported,,,1
MexCstW_desalinated water,NoReported,,,1
MexGulf_desalinated water,NoReported,,,1
MexInt_desalinated water,NoReported,,,1
mining energy use,NoReported,,,1
MiscCrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
MissouriR_desalinated water,NoReported,,,1
MissppRN_desalinated water,NoReported,,,1
MissppRS_desalinated water,NoReported,,,1
municipal wastewater treatment,NoReported,,,1
municipal water,NoReported,,,1
municipal water abstraction,NoReported,,,1
municipal water distribution,NoReported,,,1
municipal water treatment,NoReported,,,1
MurrayDrlg_desalinated water,NoReported,,,1
N fertilizer,NoReported,,,1
NarmadaR_desalinated water,NoReported,,,1
NegroR_desalinated water,NoReported,,,1
NelsonR_desalinated water,NoReported,,,1
NemanR_desalinated water,NoReported,,,1
NevaR_desalinated water,NoReported,,,1
NigerR_desalinated water,NoReported,,,1
NileR_desalinated water,NoReported,,,1
NonFoodDemand_Crops,NoReported,,,1
NonFoodDemand_Meat,NoReported,,,1
NonFoodDemand_sawnwood,NoReported,,,1
nuclearFuelGenII,NoReported,,,1
nuclearFuelGenIII,NoReported,,,1
NutsSeeds,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
NWTerr_desalinated water,NoReported,,,1
ObR_desalinated water,NoReported,,,1
OderR_desalinated water,NoReported,,,1
OhioR_desalinated water,NoReported,,,1
OilCrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
OilPalm,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
OrangeR_desalinated water,NoReported,,,1
OrinocoR_desalinated water,NoReported,,,1
other industrial energy use,NoReported,,,1
other industrial feedstocks,NoReported,,,1
other industry,NoReported,,,1
OtherGrain,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
PacArctic_desalinated water,NoReported,,,1
Pampas_desalinated water,NoReported,,,1
Papaloapan_desalinated water,NoReported,,,1
paper,NoReported,,,1
ParnaibaR_desalinated water,NoReported,,,1
Pasture,NoReported,,,1
Pasture_FodderGrass,NoReported,,,1
PennarR_desalinated water,NoReported,,,1
PersianGulf_desalinated water,NoReported,,,1
PeruCst_desalinated water,NoReported,,,1
PolandCst_desalinated water,NoReported,,,1
PoR_desalinated water,NoReported,,,1
Pork,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,1
Poultry,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,1
process heat cement,NoReported,,,1
process heat food processing,NoReported,,,1
process heat paper,NoReported,,,1
RedSeaE_desalinated water,NoReported,,,1
refined liquids enduse,NoReported,,,1
refined liquids industrial,NoReported,,,1
refining,NoReported,,,1
regional ammonia,NoReported,,,1
regional beef,NoReported,,,1
regional biomass,NoReported,,,1
regional biomassOil,NoReported,,,1
regional coal,NoReported,,,1
regional corn,NoReported,NoReported,NoReported,1
regional corn for ethanol,NoReported,,,1
regional dairy,NoReported,,,1
regional fibercrop,NoReported,,,1
regional fruits,NoReported,,,1
regional industrial_roundwood,NoReported,,,1
regional iron and steel,NoReported,,,1
regional legumes,NoReported,,,1
regional misccrop,NoReported,,,1
regional natural gas,NoReported,,,1
regional nuts_seeds,NoReported,,,1
regional oil,NoReported,,,1
regional oilcrop,NoReported,,,1
regional oilpalm,NoReported,,,1
regional othergrain,NoReported,,,1
regional pork,NoReported,,,1
regional poultry,NoReported,,,1
regional rice,NoReported,,,1
regional root_tuber,NoReported,,,1
regional sawnwood,NoReported,,,1
regional sheepgoat,NoReported,,,1
regional soybean,NoReported,,,1
regional sugar for ethanol,NoReported,,,1
regional sugarcrop,NoReported,,,1
regional vegetables,NoReported,,,1
regional wheat,NoReported,,,1
regional woodpulp,NoReported,,,1
regional woodpulp for energy,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid cooling,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid heating,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
resid others,NoReported,,,1
RhineR_desalinated water,NoReported,,,1
RhoneR_desalinated water,NoReported,,,1
Rice,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Rice [Index],1
RiftValley_desalinated water,NoReported,,,1
RioBalsas_desalinated water,NoReported,,,1
RioGrande_desalinated water,NoReported,,,1
RioLaPlata_desalinated water,NoReported,,,1
RioLerma_desalinated water,NoReported,,,1
RioVerde_desalinated water,NoReported,,,1
RootTuber,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
RusCstSE_desalinated water,NoReported,,,1
SabarmatiR_desalinated water,NoReported,,,1
Salween_desalinated water,NoReported,,,1
SAmerCstN_desalinated water,NoReported,,,1
SAmerCstNE_desalinated water,NoReported,,,1
SaoFrancR_desalinated water,NoReported,,,1
sawnwood_processing,NoReported,,,1
Scavenging_Other,NoReported,,,1
ScheldtR_desalinated water,NoReported,,,1
SChinaSea_desalinated water,NoReported,,,1
ScndnvN_desalinated water,NoReported,,,1
Scotland_desalinated water,NoReported,,,1
SeineR_desalinated water,NoReported,,,1
ShebJubR_desalinated water,NoReported,,,1
SheepGoat,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Livestock [Index],,1
SinaiP_desalinated water,NoReported,,,1
Soybean,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],Price|Agriculture|Food Products|Crops|Soybean [Index],1
SpainCstSE_desalinated water,NoReported,,,1
SriLanka_desalinated water,NoReported,,,1
StLwrncR_desalinated water,NoReported,,,1
SugarCrop,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
Sulawesi_desalinated water,NoReported,,,1
Sumatra_desalinated water,NoReported,,,1
Sweden_desalinated water,NoReported,,,1
SyrDaryaR_desalinated water,NoReported,,,1
TagusR_desalinated water,NoReported,,,1
TaptiR_desalinated water,NoReported,,,1
Tasmania_desalinated water,NoReported,,,1
Tehuantpc_desalinated water,NoReported,,,1
TennR_desalinated water,NoReported,,,1
TexasCst_desalinated water,NoReported,,,1
TiberR_desalinated water,NoReported,,,1
TigrEuphR_desalinated water,NoReported,,,1
TocantinsR_desalinated water,NoReported,,,1
total beef,NoReported,,,1
total biomass,NoReported,,,1
total corn,NoReported,,,1
total dairy,NoReported,,,1
total fibercrop,NoReported,,,1
total fruits,NoReported,,,1
total legumes,NoReported,,,1
total misccrop,NoReported,,,1
total nuts_seeds,NoReported,,,1
total oilcrop,NoReported,,,1
total oilpalm,NoReported,,,1
total othergrain,NoReported,,,1
total pork,NoReported,,,1
total poultry,NoReported,,,1
total rice,NoReported,,,1
total root_tuber,NoReported,,,1
total sheepgoat,NoReported,,,1
total soybean,NoReported,,,1
total sugarcrop,NoReported,,,1
total vegetables,NoReported,,,1
total wheat,NoReported,,,1
traded Afr_MidE pipeline gas,NoReported,,,1
traded ammonia,NoReported,,,1
traded beef,NoReported,,,1
traded biomass,NoReported,,,1
traded coal,NoReported,,,1
traded corn,NoReported,,,1
traded dairy,NoReported,,,1
traded EUR pipeline gas,NoReported,,,1
traded fibercrop,NoReported,,,1
traded fruits,NoReported,,,1
traded industrial_roundwood,NoReported,,,1
traded iron and steel,NoReported,,,1
traded LA pipeline gas,NoReported,,,1
traded legumes,NoReported,,,1
traded LNG,NoReported,,,1
traded misccrop,NoReported,,,1
traded N.Amer pipeline gas,NoReported,,,1
traded nuts_seeds,NoReported,,,1
traded oil,NoReported,,,1
traded oilcrop,NoReported,,,1
traded oilpalm,NoReported,,,1
traded othergrain,NoReported,,,1
traded PAC pipeline gas,NoReported,,,1
traded pork,NoReported,,,1
traded poultry,NoReported,,,1
traded rice,NoReported,,,1
traded root_tuber,NoReported,,,1
traded RUS pipeline gas,NoReported,,,1
traded sawnwood,NoReported,,,1
traded sheepgoat,NoReported,,,1
traded soybean,NoReported,,,1
traded sugarcrop,NoReported,,,1
traded vegetables,NoReported,,,1
traded wheat,NoReported,,,1
traded woodpulp,NoReported,,,1
trn_aviation_intl,NoReported,,,1
trn_freight,NoReported,,,1
trn_freight_road,NoReported,,,1
trn_pass,NoReported,,,1
trn_pass_road,NoReported,,,1
trn_pass_road_LDV,NoReported,,,1
trn_pass_road_LDV_4W,NoReported,,,1
trn_shipping_intl,NoReported,,,1
UnmanagedLand,NoReported,,,1
UralR_desalinated water,NoReported,,,1
urban processes,NoReported,,,1
UsaColoRN_desalinated water,NoReported,,,1
UsaColoRS_desalinated water,NoReported,,,1
UsaCstE_desalinated water,NoReported,,,1
UsaCstNE_desalinated water,NoReported,,,1
UsaCstSE_desalinated water,NoReported,,,1
UsaPacNW_desalinated water,NoReported,,,1
Vegetables,Price|Agriculture|Food Products [Index],Price|Agriculture|Food Products|Crops [Index],,1
VolgaR_desalinated water,NoReported,,,1
waste biomass for paper,NoReported,,,1
water_td_an_C,NoReported,,,1
water_td_an_W,NoReported,,,1
water_td_elec_C,NoReported,,,1
water_td_elec_W,NoReported,,,1
water_td_ind_C,NoReported,,,1
water_td_ind_W,NoReported,,,1
water_td_irr_AdnNicIsl_C,NoReported,,,1
water_td_irr_AdnNicIsl_W,NoReported,,,1
water_td_irr_AdrBlkSea_C,NoReported,,,1
water_td_irr_AdrBlkSea_W,NoReported,,,1
water_td_irr_AfrCstE_C,NoReported,,,1
water_td_irr_AfrCstE_W,NoReported,,,1
water_td_irr_AfrCstNE_C,NoReported,,,1
water_td_irr_AfrCstNE_W,NoReported,,,1
water_td_irr_AfrCstNW_C,NoReported,,,1
water_td_irr_AfrCstNW_W,NoReported,,,1
water_td_irr_AfrCstS_C,NoReported,,,1
water_td_irr_AfrCstS_W,NoReported,,,1
water_td_irr_AfrCstSE_C,NoReported,,,1
water_td_irr_AfrCstSE_W,NoReported,,,1
water_td_irr_AfrCstSSW_C,NoReported,,,1
water_td_irr_AfrCstSSW_W,NoReported,,,1
water_td_irr_AfrCstSW_C,NoReported,,,1
water_td_irr_AfrCstSW_W,NoReported,,,1
water_td_irr_AfrCstW_C,NoReported,,,1
water_td_irr_AfrCstW_W,NoReported,,,1
water_td_irr_AfrIntN_C,NoReported,,,1
water_td_irr_AfrIntN_W,NoReported,,,1
water_td_irr_AfrIntS_C,NoReported,,,1
water_td_irr_AfrIntS_W,NoReported,,,1
water_td_irr_AmazonR_C,NoReported,,,1
water_td_irr_AmazonR_W,NoReported,,,1
water_td_irr_AmuDaryaR_C,NoReported,,,1
water_td_irr_AmuDaryaR_W,NoReported,,,1
water_td_irr_AmurR_C,NoReported,,,1
water_td_irr_AmurR_W,NoReported,,,1
water_td_irr_AngolaCst_C,NoReported,,,1
water_td_irr_AngolaCst_W,NoReported,,,1
water_td_irr_ArabianP_C,NoReported,,,1
water_td_irr_ArabianP_W,NoReported,,,1
water_td_irr_ArabianSea_C,NoReported,,,1
water_td_irr_ArabianSea_W,NoReported,,,1
water_td_irr_ArcticIsl_C,NoReported,,,1
water_td_irr_ArcticIsl_W,NoReported,,,1
water_td_irr_ArgColoR_C,NoReported,,,1
water_td_irr_ArgColoR_W,NoReported,,,1
water_td_irr_ArgCstN_C,NoReported,,,1
water_td_irr_ArgCstN_W,NoReported,,,1
water_td_irr_ArgCstS_C,NoReported,,,1
water_td_irr_ArgCstS_W,NoReported,,,1
water_td_irr_ArkWhtRedR_C,NoReported,,,1
water_td_irr_ArkWhtRedR_W,NoReported,,,1
water_td_irr_AusCstE_C,NoReported,,,1
water_td_irr_AusCstE_W,NoReported,,,1
water_td_irr_AusCstN_C,NoReported,,,1
water_td_irr_AusCstN_W,NoReported,,,1
water_td_irr_AusCstS_C,NoReported,,,1
water_td_irr_AusCstS_W,NoReported,,,1
water_td_irr_AusCstW_C,NoReported,,,1
water_td_irr_AusCstW_W,NoReported,,,1
water_td_irr_AusInt_C,NoReported,,,1
water_td_irr_AusInt_W,NoReported,,,1
water_td_irr_BalticSea_C,NoReported,,,1
water_td_irr_BalticSea_W,NoReported,,,1
water_td_irr_BarentsSea_C,NoReported,,,1
water_td_irr_BarentsSea_W,NoReported,,,1
water_td_irr_BengalBay_C,NoReported,,,1
water_td_irr_BengalBay_W,NoReported,,,1
water_td_irr_BengalW_C,NoReported,,,1
water_td_irr_BengalW_W,NoReported,,,1
water_td_irr_BlackSeaN_C,NoReported,,,1
water_td_irr_BlackSeaN_W,NoReported,,,1
water_td_irr_BlackSeaS_C,NoReported,,,1
water_td_irr_BlackSeaS_W,NoReported,,,1
water_td_irr_BoHai_C,NoReported,,,1
water_td_irr_BoHai_W,NoReported,,,1
water_td_irr_BorneoCstN_C,NoReported,,,1
water_td_irr_BorneoCstN_W,NoReported,,,1
water_td_irr_BrahmaniR_C,NoReported,,,1
water_td_irr_BrahmaniR_W,NoReported,,,1
water_td_irr_BrzCstE_C,NoReported,,,1
water_td_irr_BrzCstE_W,NoReported,,,1
water_td_irr_BrzCstN_C,NoReported,,,1
water_td_irr_BrzCstN_W,NoReported,,,1
water_td_irr_BrzCstS_C,NoReported,,,1
water_td_irr_BrzCstS_W,NoReported,,,1
water_td_irr_California_C,NoReported,,,1
water_td_irr_California_W,NoReported,,,1
water_td_irr_CanAtl_C,NoReported,,,1
water_td_irr_CanAtl_W,NoReported,,,1
water_td_irr_Caribbean_C,NoReported,,,1
water_td_irr_Caribbean_W,NoReported,,,1
water_td_irr_CaspianE_C,NoReported,,,1
water_td_irr_CaspianE_W,NoReported,,,1
water_td_irr_CaspianNE_C,NoReported,,,1
water_td_irr_CaspianNE_W,NoReported,,,1
water_td_irr_CaspianSW_C,NoReported,,,1
water_td_irr_CaspianSW_W,NoReported,,,1
water_td_irr_CauveryR_C,NoReported,,,1
water_td_irr_CauveryR_W,NoReported,,,1
water_td_irr_ChaoPhrR_C,NoReported,,,1
water_td_irr_ChaoPhrR_W,NoReported,,,1
water_td_irr_ChileCstN_C,NoReported,,,1
water_td_irr_ChileCstN_W,NoReported,,,1
water_td_irr_ChileCstS_C,NoReported,,,1
water_td_irr_ChileCstS_W,NoReported,,,1
water_td_irr_ChinaCst_C,NoReported,,,1
water_td_irr_ChinaCst_W,NoReported,,,1
water_td_irr_ChurchillR_C,NoReported,,,1
water_td_irr_ChurchillR_W,NoReported,,,1
water_td_irr_CntAmer_C,NoReported,,,1
water_td_irr_CntAmer_W,NoReported,,,1
water_td_irr_ColEcuaCst_C,NoReported,,,1
water_td_irr_ColEcuaCst_W,NoReported,,,1
water_td_irr_CongoR_C,NoReported,,,1
water_td_irr_CongoR_W,NoReported,,,1
water_td_irr_DanubeR_C,NoReported,,,1
water_td_irr_DanubeR_W,NoReported,,,1
water_td_irr_DaugavaR_C,NoReported,,,1
water_td_irr_DaugavaR_W,NoReported,,,1
water_td_irr_DeadSea_C,NoReported,,,1
water_td_irr_DeadSea_W,NoReported,,,1
water_td_irr_DnieperR_C,NoReported,,,1
water_td_irr_DnieperR_W,NoReported,,,1
water_td_irr_DniesterR_C,NoReported,,,1
water_td_irr_DniesterR_W,NoReported,,,1
water_td_irr_DnkGrmCst_C,NoReported,,,1
water_td_irr_DnkGrmCst_W,NoReported,,,1
water_td_irr_DonR_C,NoReported,,,1
water_td_irr_DonR_W,NoReported,,,1
water_td_irr_DouroR_C,NoReported,,,1
water_td_irr_DouroR_W,NoReported,,,1
water_td_irr_DvinaRN_C,NoReported,,,1
water_td_irr_DvinaRN_W,NoReported,,,1
water_td_irr_EbroR_C,NoReported,,,1
water_td_irr_EbroR_W,NoReported,,,1
water_td_irr_EJrdnSyr_C,NoReported,,,1
water_td_irr_EJrdnSyr_W,NoReported,,,1
water_td_irr_ElbeR_C,NoReported,,,1
water_td_irr_ElbeR_W,NoReported,,,1
water_td_irr_EmsWeserR_C,NoReported,,,1
water_td_irr_EmsWeserR_W,NoReported,,,1
water_td_irr_EngWales_C,NoReported,,,1
water_td_irr_EngWales_W,NoReported,,,1
water_td_irr_FarahrudR_C,NoReported,,,1
water_td_irr_FarahrudR_W,NoReported,,,1
water_td_irr_Finland_C,NoReported,,,1
water_td_irr_Finland_W,NoReported,,,1
water_td_irr_FlyR_C,NoReported,,,1
water_td_irr_FlyR_W,NoReported,,,1
water_td_irr_FranceCstS_C,NoReported,,,1
water_td_irr_FranceCstS_W,NoReported,,,1
water_td_irr_FranceCstW_C,NoReported,,,1
water_td_irr_FranceCstW_W,NoReported,,,1
water_td_irr_FraserR_C,NoReported,,,1
water_td_irr_FraserR_W,NoReported,,,1
water_td_irr_GangesR_C,NoReported,,,1
water_td_irr_GangesR_W,NoReported,,,1
water_td_irr_Gironde_C,NoReported,,,1
water_td_irr_Gironde_W,NoReported,,,1
water_td_irr_Gobi_C,NoReported,,,1
water_td_irr_Gobi_W,NoReported,,,1
water_td_irr_GodavariR_C,NoReported,,,1
water_td_irr_GodavariR_W,NoReported,,,1
water_td_irr_GreatBasin_C,NoReported,,,1
water_td_irr_GreatBasin_W,NoReported,,,1
water_td_irr_GreatLakes_C,NoReported,,,1
water_td_irr_GreatLakes_W,NoReported,,,1
water_td_irr_GrijUsuR_C,NoReported,,,1
water_td_irr_GrijUsuR_W,NoReported,,,1
water_td_irr_GuadalqR_C,NoReported,,,1
water_td_irr_GuadalqR_W,NoReported,,,1
water_td_irr_GuadianaR_C,NoReported,,,1
water_td_irr_GuadianaR_W,NoReported,,,1
water_td_irr_GuineaGulf_C,NoReported,,,1
water_td_irr_GuineaGulf_W,NoReported,,,1
water_td_irr_Hainan_C,NoReported,,,1
water_td_irr_Hainan_W,NoReported,,,1
water_td_irr_HamuMashR_C,NoReported,,,1
water_td_irr_HamuMashR_W,NoReported,,,1
water_td_irr_Hawaii_C,NoReported,,,1
water_td_irr_Hawaii_W,NoReported,,,1
water_td_irr_Helmand_C,NoReported,,,1
water_td_irr_Helmand_W,NoReported,,,1
water_td_irr_Hong_C,NoReported,,,1
water_td_irr_Hong_W,NoReported,,,1
water_td_irr_HuangHeR_C,NoReported,,,1
water_td_irr_HuangHeR_W,NoReported,,,1
water_td_irr_HudsonBay_C,NoReported,,,1
water_td_irr_HudsonBay_W,NoReported,,,1
water_td_irr_IberiaCst_C,NoReported,,,1
water_td_irr_IberiaCst_W,NoReported,,,1
water_td_irr_Iceland_C,NoReported,,,1
