# common-definitions.url: git@github.com:IAMconsortium/common-definitions
# common-definitions.commit_hash: 7e32405ade790677a6022ff498395bff00d9792d
# common-definitions.commit_timestamp: 2025-10-20 10:42:13
variable,description,unit,tier,Internal_variable,Status,comments.answers,navigate,engage,notes,lower_bound,note,range,region.aggregation,check.aggregate,skip.region.aggregation,sdg,weight,min,components,shape,agmip,ngfs5
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Apartment|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Apartment|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|High-rise|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|High-rise|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Semi-detached|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Semi-detached|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Multi Family Housing|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Single Family Housing|Detached|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Single Family Housing|Detached|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential unit type,billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Single Family Housing|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Single Family Housing|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Slum|Gross,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Slum|Useful,Standing stock of floor space in residential (urban and rural) buildings and residential building type (i.e. singly or multi family buildings),billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Floor Space|Useful,"Standing stock of floor space in Residential buildings, for urban and rural residential buildings",billion m2,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|Renovation Rate,"Percentage of urban and rural residential buildings undergoing renovation, for urban and rural residential buildings",%/yr,2,,,,,,,,,,,,,,,,,,,
Building Stock|Residential|Urban|U-value,"Thermal conductivity of outer building shell, as a measure of thermal energy efficiency, for urban and rural residential buildings",W/m^2/K,2,,,,,,,,,,,,,,,,,,,
Capacity Additions|Electricity,Total annual new installation of electricity generation capacity,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Ammonia,Annual new installation of capacity to generate electricity from ammonia,GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Biomass,"Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Biomass|w/ CCS,"Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass in combination with carbon capture and storage (CCS)",GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Biomass|w/o CCS,"Annual new installation of capacity to generate electricity from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass without carbon capture and storage (CCS)",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Coal,Annual new installation of capacity to generate electricity from coal including lignite,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Coal|w/ CCS,Annual new installation of capacity to generate electricity from coal including lignite in combination with carbon capture and storage (CCS),GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Coal|w/o CCS,Annual new installation of capacity to generate electricity from coal including lignite without carbon capture and storage (CCS),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Fossil,"Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Fossil|w/ CCS,"Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil in combination with carbon capture and storage (CCS)",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Fossil|w/o CCS,"Annual new installation of capacity to generate electricity from fossil fuels including coal, natural gas and conventional/unconventional oil without carbon capture and storage (CCS)",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Gas,Annual new installation of capacity to generate electricity from natural gas (fossil methane),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Gas|w/ CCS,Annual new installation of capacity to generate electricity from natural gas (fossil methane) in combination with carbon capture and storage (CCS),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Gas|w/o CCS,Annual new installation of capacity to generate electricity from natural gas (fossil methane) without carbon capture and storage (CCS),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Geothermal,Annual new installation of capacity to generate electricity from geothermal sources,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Hydro,Annual new installation of capacity to generate electricity from hydropower,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Hydrogen,Annual new installation of capacity to generate electricity from hydrogen,GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Non-Biomass Renewables,"Annual new installation of capacity to generate electricity from hydro, wind, solar, geothermal, ocean, and other renewable sources excluding biomass",GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Nuclear,Annual new installation of capacity to generate electricity from nuclear power,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Ocean,Annual new installation of capacity to generate electricity from oceans,GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Oil,Annual new installation of capacity to generate electricity from conventional and unconventional crude oil in combination with carbon capture and storage (CCS),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Oil|w/ CCS,Annual new installation of capacity to generate electricity from conventional and unconventional crude oil in combination with carbon capture and storage (CCS),GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Oil|w/o CCS,Annual new installation of capacity to generate electricity from conventional and unconventional crude oil without carbon capture and storage (CCS),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Other,Annual new installation of capacity to generate electricity from sources that do not fit any other category,GW/yr,2,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar,Annual new installation of capacity to generate electricity from solar energy,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|CSP,Annual new installation of capacity to generate electricity from utility-scale concentrated solar power (CSP),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV,Annual new installation of capacity to generate electricity from photovoltaics (PV),GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Agri-PV,Annual new installation of capacity to generate electricity from photovoltaics (PV) on agricultural land (mixed use),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Commercial,Annual new installation of capacity to generate electricity from commercial rooftop photovoltaics (PV),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Floating,Annual new installation of capacity to generate electricity from photovoltaics (PV) on water,GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Open Land,Annual new installation of capacity to generate electricity from photovoltaics (PV) on open land (no mixed use),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Other,Annual new installation of capacity to generate electricity from other types of photovoltaics (PV),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Solar|PV|Residential,Annual new installation of capacity to generate electricity from residential rooftop photovoltaics (PV),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Wind,Annual new installation of capacity to generate electricity from wind power,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Wind|Offshore,Annual new installation of capacity to generate electricity from offshore wind power,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Electricity|Wind|Onshore,Annual new installation of capacity to generate electricity from onshore wind power,GW/yr,2,elec_capacity_add_clean,done,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases,"Total annual new capacity installation to produce gaseous fuels including natural gas and biogas, not including hydrogen",GW/yr,2,,,CR: Not computable since we do not have gases capacities,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases|Biomass,"Total annual new capacity installation to produce gaseous fuels from biogenic sources, mainly biogas",GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases|Coal,Total annual new capacity installation to produce gaseous fuels from fossil coal gasification,GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases|Electricity,"Total annual new capacity installation to produce gas from electricity i.e., 'power-to-gas' (if hydrogen is not explicitly modeled as an intermediate product)",GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases|Fossil,Total annual new capacity installation to produce gaseous fuels from fossil fuels including natural gas and coal,GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
Capacity Additions|Gases|Gas,Total annual new capacity installation to produce fossil methane ('natural gas'),GW/yr,3,,,,,,This variable should be computed as yearly average additions between the previous and the current reported time step.,,,,,,,,,,,,,
