# HDD and CDD. Same for all scenarios and GCAM versions. Simply check that the loaded version in the config file matches this data.
# Source: GCAM DB; module_energy_L143.HDDCDD; constdd_no_GCM
scenario,region,var,year,value
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,1975,2494
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,1990,2671
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2005,2670
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2010,2654
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2015,2643
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2020,2667
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2025,2678
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2030,2686
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2035,2694
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2040,2700
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2045,2708
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2050,2716
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2055,2724
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2060,2730
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2065,2737
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2070,2744
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2075,2751
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2080,2759
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2085,2766
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2090,2772
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2095,2777
scen,Africa_Eastern,Energy Service|Residential|Cooling Degree Days,2100,2783
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1975,364
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1990,324
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2005,330
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2010,330
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2015,331
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2020,328
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2025,326
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2030,325
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2035,323
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2040,322
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2045,320
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2050,319
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2055,318
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2060,316
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2065,315
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2070,314
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2075,313
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2080,311
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2085,310
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2090,309
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2095,308
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2100,307
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1975,364
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,1990,324
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2005,330
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2010,330
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2015,331
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2020,328
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2025,326
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2030,325
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2035,323
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2040,322
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2045,320
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2050,319
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2055,318
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2060,316
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2065,315
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2070,314
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2075,313
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2080,311
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2085,310
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2090,309
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2095,308
scen,Africa_Eastern,Energy Service|Residential|Heating Degree Days,2100,307
